model_1,model_3
-1.0723928213119507,-1.1155539751052856
-1.9049460887908936,-1.025031566619873
-1.3981313705444336,-1.4559160470962524
-2.645789623260498,-1.690801739692688
-2.4607465267181396,-1.3244467973709106
-1.046828269958496,-1.1761032342910767
-1.5541640520095825,-1.041635274887085
-3.1099305152893066,-1.2307188510894775
-1.2721656560897827,-1.040493369102478
-1.0541415214538574,-1.0314548015594482
-1.369395136833191,-1.0815353393554688
-1.684287190437317,-1.4848695993423462
-1.1943951845169067,-1.0445371866226196
-1.8536434173583984,-1.1143583059310913
-1.130385398864746,-1.1617200374603271
-1.2624351978302002,-0.9393257275223732
-5.485246658325195,-1.0779742621816695
-4.467038154602051,-1.3042390309274197
-1.3571922779083252,-2.6547340154647827
-1.011726975440979,-2.628014422953129
-1.5647695064544678,-1.109445571899414
-1.1115686893463135,-1.2743446733802557
-2.5651187896728516,-1.2992058992385864
-0.41773009300231934,-1.1694704294204712
-1.3806946948170662,-1.3124194145202637
-3.066624343395233,-3.356891868636012
-8.392553329467773,-1.7967733144760132
-1.2721130847930908,-1.0514202117919922
-4.362328052520752,-1.0353312492370605
-2.7255666255950928,-1.3176690340042114
-1.3233487606048584,-5.888637036085129
-1.0682733058929443,-1.768409013748169
-1.1126599311828613,-1.9327569156885147
-1.0921541452407837,-1.2326651811599731
-1.4378834962844849,-1.8728657308965921
-1.3007820844650269,-2.0347659587860107
-1.1815026998519897,-1.9066224098205566
-1.0075809359550476,-1.5225039152428508
-2.640825033187866,-1.0033299922943115
-2.460876703262329,0.9834610223770142
-0.677288293838501,-1.116471767425537
-1.6013731956481934,-1.057278037071228
-4.181159734725952,-1.0512765645980835
-9.831570625305176,-1.286161595955491
1.3962039947509766,-1.1816808581352234
-4.0988347716629505,-1.0042023658752441
-7.159053981304169,-1.0365244150161743
-0.9820412173867226,-1.401038512820378
-1.6274722814559937,-1.0735834836959839
-2.040108308196068,-1.3925617039203644
-2.052002191543579,-1.0142123699188232
-2.182107713073492,-1.4451308250427246
3.177200973033905,-1.288973093032837
-1.2404521703720093,-1.2005410194396973
-1.0798324346542358,-1.3197498321533203
-1.5449402332305908,-1.261216402053833
-1.038790225982666,-1.06316077709198
-3.2059106826782227,-3.851675271987915
-1.5108826160430908,-1.116836428642273
-1.1126621961593628,-0.8311260901391506
-1.7560945600271225,-1.034889817237854
-1.5084311366081238,-1.0931298732757568
-1.012780785560608,-1.1161718368530273
-2.2860145568847656,-1.1206883192062378
-1.6751174330711365,-1.5098034143447876
-1.071328043937683,-1.204627513885498
-1.4399957470595837,-1.0140736103057861
-1.9958056211471558,-1.190382480621338
0.9252916574478149,-1.0851866006851196
-1.2543047666549683,-1.226033441722393
-1.0142742395401,-2.9008402824401855
-1.8372687101364136,-1.5639843940734863
-1.065027117729187,-1.0730376243591309
-1.33799222484231,-1.002298696897924
-0.8552172929048538,-1.129544660449028
-1.643139123916626,0.461667001247406
-2.0530436038970947,-1.1597093343734741
-3.83743479847908,0.42793548107147217
-1.2690074443817139,0.11112698167562485
